Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS
351;Josh Richardson;SG;30;MIA;10;1;25;2.8;7;0.4;1;3.9;0.256;1.8;3.1;0.581;0.471;0.8;0.9;0.889;0.1;2.3;2.4;2.7;0.6;0.2;0.9;1.8;7.4
352;Duncan Robinson;SF;29;MIA;13;5;29.8;5.2;11;0.469;3;7.3;0.411;2.2;3.7;0.583;0.605;1.2;1.4;0.889;0.3;2.5;2.8;2.8;0.4;0.2;1;2.2;14.5
353;Jerome Robinson;SG;26;GSW;1;0;5;0;2;0;0;0;0;0;2;0;0;0;0;0;1;1;2;0;0;0;0;0;0
354;Mitchell Robinson;C;25;NYK;13;13;29.8;2.8;4.9;0.563;0;0;0;2.8;4.9;0.563;0.563;0.8;2;0.385;6;5.6;11.6;0.5;1.3;1.2;0.6;1.8;6.3
355;Orlando Robinson;C;23;MIA;2;0;15;2;4.5;0.444;0.5;0.5;1;1.5;4;0.375;0.5;1;1;1;1;3;4;3.5;0.5;0.5;1.5;2;5.5
356;Jeremiah Robinson-Earl;PF;23;NOP;6;1;14.3;2;3.5;0.571;1;1.7;0.6;1;1.8;0.545;0.714;0.7;0.7;1;0.8;2;2.8;0.7;0.3;0;1;1.3;5.7
357;David Roddy;PF;22;MEM;12;1;22.9;3.4;7.8;0.436;0.7;2.9;0.229;2.8;4.9;0.559;0.479;0.6;0.9;0.636;1.2;2.6;3.8;1.1;0.7;0.5;0.8;1.9;8.1
358;Ryan Rollins;PG;21;WAS;7;0;6.9;1.3;2.6;0.5;0.1;0.3;0.5;1.1;2.3;0.5;0.528;1.9;2.3;0.813;0.3;1.1;1.4;1.4;1.1;0.3;1;0.9;4.6
359;Derrick Rose;PG;35;MEM;5;0;17;3;8.2;0.366;1.2;2.2;0.545;1.8;6;0.3;0.439;1;1.4;0.714;0.8;1;1.8;2.4;0.4;0.2;1.2;0.8;8.2
360;Terry Rozier;SG;29;CHO;5;5;35.8;8.4;18;0.467;1.6;6.2;0.258;6.8;11.8;0.576;0.511;3.6;4.4;0.818;0.8;3.2;4;5;0.6;0.4;2.2;0.8;22
361;Rayan Rupert;SG;19;POR;4;0;3;0;1;0;0;0.5;0;0;0.5;0;0;0.3;0.5;0.5;0;0;0;0;0;0;0.3;0.3;0.3
362;D'Angelo Russell;PG;27;LAL;13;13;32.6;6.9;14.4;0.481;2.3;5.9;0.39;4.6;8.5;0.545;0.561;2.2;2.8;0.806;0.5;2.8;3.4;6.5;0.4;0.6;1.9;2.3;18.4
363;Matt Ryan;SF;26;NOP;13;1;22.9;2.9;6.4;0.458;2.5;5.2;0.471;0.5;1.2;0.4;0.651;1;1.1;0.929;0.4;1.9;2.3;1.1;0.4;0.1;1.2;1.8;9.3
364;Domantas Sabonis;C;27;SAC;11;11;35.2;7.6;12.5;0.609;0.5;1.3;0.429;7.1;11.3;0.629;0.63;4;6.3;0.638;3.6;9.3;12.9;7.3;1;1;3.6;3.5;19.8
365;Luka Šamani?;PF;24;UTA;5;0;3.4;1;2;0.5;0.4;1;0.4;0.6;1;0.6;0.6;0.2;0.2;1;0;0.8;0.8;0.2;0.2;0;0;0.2;2.6
366;Jermaine Samuels;SF;25;HOU;3;0;6.7;0.7;1;0.667;0;0.3;0;0.7;0.7;1;0.667;0.7;0.7;1;0.3;0.7;1;0;0;0.3;0;1;2
367;Gui Santos;PF;21;GSW;1;0;4;1;3;0.333;0;1;0;1;2;0.5;0.333;0;0;0;2;1;3;1;0;0;0;0;2
368;Dario Šari?;C;29;GSW;14;3;21.1;3.3;8;0.411;1.4;4.1;0.328;1.9;3.9;0.5;0.496;1.2;1.4;0.895;1.8;4.6;6.4;2;0.5;0.4;0.9;2.2;9.1
369;Olivier Sarr;C;24;OKC;4;0;11;0.3;0.3;1;0;0;0;0.3;0.3;1;1;1;1.5;0.667;0.8;3.8;4.5;0.3;0;1.3;0.5;1.5;1.5
