Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS
424;Devin Vassell;SG;23;SAS;9;8;28.9;6.2;12.6;0.496;2.4;5.7;0.431;3.8;6.9;0.548;0.593;2.4;3.3;0.733;0.4;3.1;3.6;2.8;1;0.1;1.3;0.9;17.3
425;Sasha Vezenkov;PF;28;SAC;10;0;14.1;2.2;5.1;0.431;1.2;3.5;0.343;1;1.6;0.625;0.549;0.3;0.3;1;0.1;1.9;2;0.2;0.6;0.2;0.1;1.3;5.9
426;Gabe Vincent;PG;27;LAL;4;0;28.3;2.8;7;0.393;0.3;3.5;0.071;2.5;3.5;0.714;0.411;0.3;0.5;0.5;0.5;0.5;1;3;1.5;0;0.5;2.5;6
427;Nikola Vu?evi?;C;33;CHI;14;14;34.4;7.3;15.6;0.466;0.9;3.5;0.265;6.4;12.1;0.524;0.495;1.4;1.7;0.792;2.9;7.6;10.5;2.9;0.9;0.6;1.9;2.9;16.9
428;Dean Wade;PF;27;CLE;11;5;19;1;2.9;0.344;0.9;2.7;0.333;0.1;0.2;0.5;0.5;0.2;0.4;0.5;0.6;2.5;3.2;0.6;0.5;0.3;0.4;2.1;3.1
429;Franz Wagner;SF;22;ORL;12;12;33.7;6.9;16.6;0.417;1.8;5.8;0.3;5.2;10.8;0.481;0.47;2.9;3.5;0.833;1.2;4.3;5.5;3.3;1.1;0.3;2.1;2.3;18.5
430;Moritz Wagner;C;26;ORL;12;0;19.5;4.4;6.9;0.639;0.6;1.8;0.333;3.8;5.2;0.742;0.681;2;2.4;0.828;1.3;3.2;4.5;1.2;0.5;0.5;1.3;2.8;11.4
431;Ish Wainright;SF;29;POR;2;0;2.5;0;0.5;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0.5;0
432;Jabari Walker;SF;21;POR;12;0;15.5;2.3;5;0.467;0.6;1.8;0.318;1.8;3.2;0.553;0.525;1.3;1.7;0.75;1.2;2.8;4;0.5;0.8;0.7;0.8;1.8;6.5
433;Jarace Walker;PF;20;IND;3;0;9;1.3;4;0.333;0;0.7;0;1.3;3.3;0.4;0.333;0.7;0.7;1;0.3;2;2.3;1.7;0.3;0.3;0;0.7;3.3
434;Lonnie Walker IV;SG;25;BRK;11;0;21.6;5.8;11.5;0.508;2.3;5.2;0.439;3.5;6.3;0.565;0.607;1.8;2.4;0.769;0.2;2.7;2.9;2;0.7;0.5;1.3;1;15.7
435;Cason Wallace;SG;20;OKC;13;1;23;3;4.8;0.629;1;1.8;0.542;2;2.9;0.684;0.734;0.7;0.7;1;0.5;1.8;2.4;1.8;0.6;0.4;0.5;1.8;7.7
436;P.J. Washington;PF;25;CHO;12;12;32.5;5.9;13;0.455;1.6;5.2;0.306;4.3;7.8;0.553;0.516;1.4;1.9;0.739;1.1;4.3;5.3;2;0.4;0.7;1.6;2.8;14.8
437;TyTy Washington Jr.;PG;22;MIL;2;0;3;0.5;1.5;0.333;0.5;1;0.5;0;0.5;0;0.5;0;0;0;0;0.5;0.5;0;0.5;0;1;0;1.5
438;Yuta Watanabe;SF;29;PHO;12;0;18.6;1.8;4.6;0.382;1.3;3.6;0.372;0.4;1;0.417;0.527;0.5;0.6;0.857;0.6;2.1;2.7;0.7;0.3;0.3;0.8;1.8;5.3
439;Lindy Waters III;SG;26;OKC;5;0;5.8;0.4;1.2;0.333;0.4;1.2;0.333;0;0;0;0.5;0;0;0;0;0;0;0.4;0;0;0;0.2;1.2
440;Trendon Watford;PF;23;BRK;6;0;14;2.7;4.8;0.552;0.3;0.8;0.4;2.3;4;0.583;0.586;1;1;1;1.3;2.5;3.8;2.2;0.7;0.2;1;2;6.7
441;Peyton Watson;SF;21;DEN;12;0;14.3;2;3.7;0.545;0.3;1.2;0.286;1.7;2.5;0.667;0.591;0.3;0.7;0.5;0.4;1.4;1.8;0.7;0.5;0.9;0.7;1.3;4.7
442;Victor Wembanyama;PF;20;SAS;13;13;30.2;7.2;16.8;0.429;1.6;5.7;0.284;5.6;11.2;0.503;0.477;3.2;4.2;0.778;2.2;7.4;9.5;2.4;1.1;2.6;3.8;2.8;19.3
443;Blake Wesley;SG;20;SAS;4;0;5.3;0.8;2;0.375;0;0.3;0;0.8;1.8;0.429;0.375;0.3;0.5;0.5;0.3;0.3;0.5;0.8;0;0.3;0.3;0.8;1.8
444;Russell Westbrook;PG;35;LAC;11;10;29.5;5.6;12.5;0.449;1.1;3.5;0.316;4.5;9.1;0.5;0.493;1.1;1.9;0.571;1.4;5.3;6.6;5.4;1.7;0.3;3.2;2.7;13.5
445;Coby White;PG;23;CHI;14;14;31.4;4.3;11.3;0.38;1.8;5.8;0.309;2.5;5.5;0.455;0.459;1.2;1.6;0.773;0.2;2.5;2.7;4.1;1.1;0.2;1.8;2.8;11.6
446;Derrick White;SG;29;BOS;10;10;31;4.6;9.6;0.479;2.4;5.7;0.421;2.2;3.9;0.564;0.604;2.4;2.9;0.828;0.7;3;3.7;4.6;0.9;0.9;1.3;2.1;14
447;Cam Whitmore;SF;19;HOU;3;0;7.7;1;3;0.333;0;1;0;1;2;0.5;0.333;0.3;0.7;0.5;0;1;1;0.3;0.3;0;0.7;0.3;2.3
448;Aaron Wiggins;SG;25;OKC;11;0;10.4;1.5;2.7;0.533;0.3;1;0.273;1.2;1.7;0.684;0.583;0.4;0.5;0.667;0.2;1.3;1.5;0.6;0.3;0.1;0.5;0.8;3.5
449;Andrew Wiggins;SF;28;GSW;14;14;26.7;4.9;11.5;0.429;0.7;3.2;0.222;4.2;8.3;0.509;0.46;1.4;2.9;0.5;1.9;1.9;3.9;1.1;0.4;0.4;1.7;2.5;12
450;Lindell Wigginton;PG;25;MIL;1;0;2;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0
451;Grant Williams;PF;25;DAL;13;13;29.6;3.8;8.2;0.472;2.8;5.8;0.48;1.1;2.4;0.452;0.642;0.9;1.5;0.632;1;2.7;3.7;1.5;0.3;0.7;0.9;2.4;11.4
452;Jalen Williams;PF;22;OKC;13;13;33.2;6.5;12.6;0.518;1.1;2.9;0.368;5.5;9.7;0.563;0.561;3.4;3.8;0.88;0.2;3.8;4.1;3.6;0.8;0.2;2.2;3;17.5
453;Jaylin Williams;C;21;OKC;8;0;12.1;1.3;3.3;0.385;0.5;2;0.25;0.8;1.3;0.6;0.462;0.6;0.8;0.833;0.3;3.1;3.4;1.3;0.5;0.3;0.4;1.6;3.6
454;Jeenathan Williams;SG;24;HOU;2;0;6.5;2;3.5;0.571;0;1;0;2;2.5;0.8;0.571;0.5;1;0.5;0;0;0;0.5;0.5;0;0;0;4.5
455;Kenrich Williams;PF;29;OKC;3;0;18.3;2.3;4.3;0.538;0.3;1.3;0.25;2;3;0.667;0.577;0.3;0.7;0.5;1;2;3;2;0.3;0;0.3;2.7;5.3
456;Mark Williams;C;22;CHO;12;12;26.1;5.4;7.5;0.722;0;0;0;5.4;7.5;0.722;0.722;2.7;3.8;0.696;3.9;5.6;9.5;1.4;0.9;0.7;1.1;2.2;13.5
457;Patrick Williams;PF;22;CHI;14;6;22.4;1.9;6;0.31;0.7;2.8;0.256;1.1;3.2;0.356;0.369;1.1;1.4;0.8;0.7;2.8;3.5;1.3;1.1;0.9;1.1;1.6;5.6
458;Robert Williams;C;26;POR;6;0;19.8;2.8;4.3;0.654;0;0;0;2.8;4.3;0.654;0.654;1.2;1.5;0.778;1.8;4.5;6.3;0.8;1.2;1.2;1.2;2.8;6.8
459;Vince Williams Jr.;SG;23;MEM;4;0;8;0.5;2;0.25;0.3;1.8;0.143;0.3;0.3;1;0.313;1.8;2;0.875;0;1.3;1.3;1;0.3;0.8;0.5;1;3
460;Ziaire Williams;SF;22;MEM;11;8;25.5;3.1;8.5;0.366;1.4;4.4;0.313;1.7;4.1;0.422;0.446;1.5;1.7;0.895;0.7;4.5;5.3;1.5;0.5;0.5;1.5;2.1;9.1
461;Zion Williamson;PF;23;NOP;10;10;31.2;8.7;16.6;0.524;0.1;0.2;0.5;8.6;16.4;0.524;0.527;4.3;7.5;0.573;2.6;3.7;6.3;4.4;0.8;0.3;2.9;2.8;21.8
462;Jalen Wilson;PF;23;BRK;2;0;3.5;0;0.5;0;0;0;0;0;0.5;0;0;0;0;0;0;0.5;0.5;0;0;0.5;0;0;0
463;Dylan Windler;SF;27;NYK;3;0;2.3;0.3;0.7;0.5;0.3;0.7;0.5;0;0;0;0.75;0;0;0;0;0.3;0.3;0.3;0;0;0;0.3;1
464;James Wiseman;C;22;DET;6;0;9.3;2.2;3.7;0.591;0;0.2;0;2.2;3.5;0.619;0.591;0.2;0.3;0.5;0.8;2;2.8;0.3;0.2;0.3;0.5;1.7;4.5
465;Christian Wood;PF;28;LAL;13;1;20.8;2.5;5.5;0.451;0.8;2.5;0.333;1.6;2.9;0.553;0.528;1.2;2;0.615;1.2;5.2;6.4;0.8;0.2;0.6;1.3;1.8;7
466;Delon Wright;PG;31;WAS;8;0;17.6;1.4;3.8;0.367;0.5;1.4;0.364;0.9;2.4;0.368;0.433;1.8;2;0.875;0.4;2.1;2.5;4.4;1.6;0.1;0.5;0.8;5
467;Thaddeus Young;PF;35;TOR;3;0;3.3;0.7;1.3;0.5;0;0;0;0.7;1.3;0.5;0.5;0;0.7;0;0.3;0.7;1;1;0;0;0.3;0;1.3
468;Trae Young;PG;25;ATL;11;11;35.7;6.3;17.6;0.356;2;7.1;0.282;4.3;10.5;0.405;0.412;8.8;9.8;0.898;0.6;2;2.6;11.1;1.5;0;4.1;1.5;23.4
469;Omer Yurtseven;C;25;UTA;7;0;4.6;1;1.4;0.7;0.1;0.4;0.333;0.9;1;0.857;0.75;0.1;0.3;0.5;0.4;1.1;1.6;0.4;0;0.1;0.1;0.9;2.3
470;Cody Zeller;C;31;NOP;10;0;6.8;0.3;1.4;0.214;0;0;0;0.3;1.4;0.214;0.214;0.4;1;0.4;1;1.8;2.8;0.8;0.2;0.1;0.3;0.8;1
471;Ivica Zubac;C;26;LAC;11;11;25.9;4.3;7.3;0.588;0;0;0;4.3;7.3;0.588;0.588;1.9;3.2;0.6;3;5.3;8.3;0.8;0.2;1.6;1.4;3.2;10.5
